PlayerName,playYear,PlayingMatch,innings,Notout,runs,HighstScores,avarage,ballsFaced,BattingSR,Hundreds,fiftes,ducks,four,sixes
VR Aaron,2011-2014,9,3,2,8,6*,8.00,15,53.33,0,0,1,1,0
S Abid Ali,1974-1975,5,3,0,93,70,31.00,132,70.45,0,1,0,6,1
AB Agarkar,1998-2007,191,113,26,1269,95,14.58,1574,80.62,0,3,10,103,22
MA Agarwal,2020-2020,5,5,0,86,32,17.20,83,103.61,0,0,0,12,1
KK Ahmed,2018-2019,11,3,1,9,5,4.50,17,52.94,0,0,0,1,0
M Amarnath,1975-1989,85,75,12,1924,102*,30.53,3334,57.70,2,13,2,123+,9+
S Amarnath,1978-1978,3,3,0,100,62,33.33,119,84.03,0,1,0,4+,0+
PK Amre,1991-1994,37,30,5,513,84*,20.52,799,64.20,0,2,1,28,2
SA Ankola,1989-1997,20,13,4,34,9,3.77,42,80.95,0,0,5,1,1
Arshad Ayub,1987-1990,32,17,7,116,31*,11.60,162,71.60,0,0,1,6,0
B Arun,1986-1987,4,3,1,21,8,10.50,32,65.62,0,0,0,2,0
J Arun Lal,1982-1989,13,13,0,122,51,9.38,232,52.58,0,1,4,10,1
R Ashwin,2010-2022,113,63,20,707,65,16.44,813,86.96,0,1,6,60,7
Avesh Khan,2022-2022,5,2,0,13,10,6.50,18,72.22,0,0,0,2,0
KBJ Azad,1980-1986,25,21,2,269,39*,14.15,400,67.25,0,0,3,19+,9+
M Azharuddin,1985-2000,334,308,54,9378,153*,36.92,12669,74.02,7,58,9,622+,77+
HK Badani,2000-2004,40,36,10,867,100,33.34,1180,73.47,1,4,1,68,10
S Badrinath,2008-2011,7,6,1,79,27*,15.80,172,45.93,0,0,0,4,0
SV Bahutule,1997-2003,8,4,1,23,11,7.66,29,79.31,0,0,0,2,0
L Balaji,2002-2009,30,16,6,120,21*,12.00,152,78.94,0,0,2,8,3
ST Banerjee,1991-1992,6,5,3,49,25*,24.50,42,116.66,0,0,0,2,1
SB Bangar,2002-2004,15,15,2,180,57*,13.84,239,75.31,0,1,3,14,3
AC Bedade,1994-1994,13,10,3,158,51,22.57,183,86.33,0,1,0,11,5
BS Bedi,1974-1979,10,7,2,31,13,6.20,70,44.28,0,0,1,1+,0
A Bhandari,2000-2004,2,1,1,0,0*,-,0,-,0,0,0,0,0
Bhupinder Singh,1994-1994,2,1,0,6,6,6.00,13,46.15,0,0,0,0,0
RMH Binny,1980-1987,72,49,10,629,57,16.12,1046,60.13,0,1,4,51+,1+
STR Binny,2014-2015,14,11,3,230,77,28.75,246,93.49,0,1,1,23,5
GK Bose,1974-1974,1,1,0,13,13,13.00,18,72.22,0,0,0,1,0
JJ Bumrah,2016-2022,72,20,13,47,14*,6.71,93,50.53,0,0,5,5,1
YS Chahal,2016-2022,67,13,5,69,18*,8.62,119,57.98,0,0,1,8,0
DL Chahar,2018-2022,9,6,3,180,69*,60.00,177,101.69,0,2,0,17,5
RD Chahar,2021-2021,1,1,0,13,13,13.00,25,52.00,0,0,0,0,0
BS Chandrasekhar,1976-1976,1,1,1,11,11*,-,13,84.61,0,0,0,-,-
VB Chandrasekhar,1988-1990,7,7,0,88,53,12.57,162,54.32,0,1,0,11,0
U Chatterjee,1995-1995,3,2,1,6,3*,6.00,30,20.00,0,0,0,0,0
CPS Chauhan,1978-1981,7,7,0,153,46,21.85,301,50.83,0,0,0,6+,0+
RK Chauhan,1993-1997,35,18,5,132,32,10.15,171,77.19,0,0,4,5,4
PP Chawla,2007-2011,25,12,5,38,13*,5.42,58,65.51,0,0,1,3,0
N Chopra,1998-2000,39,26,6,310,61,15.50,498,62.24,0,1,1,15,5
V Dahiya,2000-2001,19,15,2,216,51,16.61,267,80.89,0,1,2,18,3
SS Das,2001-2002,4,4,1,39,30,13.00,77,50.64,0,0,0,2,1
D Dasgupta,2001-2001,5,4,1,51,24*,17.00,82,62.19,0,0,1,6,0
NA David,1997-1997,4,2,2,9,8*,-,10,90.00,0,0,0,0,0
P Dharmani,1996-1996,1,1,0,8,8,8.00,8,100.00,0,0,0,0,0
R Dhawan,2016-2016,3,2,1,12,9,12.00,13,92.30,0,0,0,1,0
S Dhawan,2010-2022,161,158,10,6672,143,45.08,7269,91.78,17,38,5,824,78
MS Dhoni,2004-2019,347,294,83,10599,183*,50.23,12164,87.13,9,73,10,809,222
SS Dighe,2000-2001,23,17,6,256,94*,23.27,421,60.80,0,1,1,11,2
AB Dinda,2010-2013,13,5,0,21,16,4.20,36,58.33,0,0,2,1,0
DR Doshi,1980-1982,15,5,2,9,5*,3.00,20,45.00,0,0,2,0,0
R Dravid,1996-2011,340,314,39,10768,153,39.15,15127,71.18,12,82,13,942,42
S Dube,2019-2019,1,1,0,9,9,9.00,6,150.00,0,0,0,1,0
FM Engineer,1974-1975,5,4,1,114,54*,38.00,195,58.46,0,1,0,13,0
FY Fazal,2016-2016,1,1,1,55,55*,-,61,90.16,0,1,0,7,1
AD Gaekwad,1975-1987,15,14,1,269,78*,20.69,509,52.84,0,1,2,15+,0+
RD Gaikwad,2022-2022,1,1,0,19,19,19.00,42,45.23,0,0,0,1,0
G Gambhir,2003-2013,147,143,11,5238,150*,39.68,6144,85.25,11,34,11,561,17
DJ Gandhi,1999-2000,3,3,0,49,30,16.33,97,50.51,0,0,0,8,0
D Ganesh,1997-1997,1,1,0,4,4,4.00,8,50.00,0,0,0,0,0
SC Ganguly,1992-2007,308,297,23,11221,183,40.95,15235,73.65,22,71,16,1104,189
RS Gavaskar,2004-2004,11,10,2,151,54,18.87,234,64.52,0,1,0,8,2
SM Gavaskar,1974-1987,108,102,14,3092,103*,35.13,4966,62.26,1,27,8,234+,21+
RS Ghai,1984-1986,6,1,0,1,1,1.00,3,33.33,0,0,0,0,0
KD Ghavri,1975-1981,19,16,6,114,20,11.40,194,58.76,0,0,1,8+,0+
MS Gony,2008-2008,2,-,-,-,-,-,-,-,-,-,-,-,-
K Gowtham,2021-2021,1,1,0,2,2,2.00,3,66.66,0,0,0,0,0
Gurkeerat Singh,2016-2016,3,3,1,13,8,6.50,13,100.00,0,0,0,2,0
Gursharan Singh,1990-1990,1,1,0,4,4,4.00,10,40.00,0,0,0,0,0
Harbhajan Singh,1998-2015,234,126,35,1213,49,13.32,1502,80.75,0,0,17,90,34
Harvinder Singh,1997-2001,16,5,1,6,3*,1.50,19,31.57,0,0,1,0,0
ND Hirwani,1988-1992,18,7,3,8,4,2.00,29,27.58,0,0,2,0,0
DJ Hooda,2022-2022,8,6,1,141,33,28.20,164,85.97,0,0,0,10,1
Ishan Kishan,2021-2022,9,8,0,267,93,33.37,295,90.50,0,3,0,25,10
SS Iyer,2017-2022,33,30,3,1299,113*,48.11,1319,98.48,2,12,0,132,23
VR Iyer,2022-2022,2,2,0,24,22,12.00,40,60.00,0,0,0,0,1
A Jadeja,1992-2000,196,179,36,5359,119,37.47,7678,69.79,6,30,10,366,85
RA Jadeja,2009-2022,171,115,40,2447,87,32.62,2828,86.52,0,13,6,179,50
KM Jadhav,2014-2020,73,52,19,1389,120,42.09,1367,101.60,2,6,2,141,24
W Jaffer,2006-2006,2,2,0,10,10,5.00,23,43.47,0,0,1,2,0
